
gen best mean std

0 39.013548 -3.441551 8.391649

1 75.231679 0.605563 13.473974

2 75.231679 7.225603 17.948739

3 75.231679 16.557763 19.500892

4 57.231679 23.831037 18.720975

5 57.231679 26.126307 19.526605

6 57.269900 28.129910 20.527545

7 94.785064 32.348348 19.481814

8 94.852506 36.531639 20.389143

9 94.852506 35.623907 21.956134

10 94.852506 37.562389 21.756576

11 94.852506 38.080064 23.998634

12 94.918596 41.433006 26.257515

13 94.918596 48.556430 26.006000

14 94.918596 58.895712 24.271609

15 94.918596 65.976634 28.019005

16 94.918596 69.818332 28.944729

17 94.918596 71.606199 30.987072

18 94.918596 72.556979 31.279991

19 94.918596 76.922610 29.644762

20 94.918596 76.119193 30.514316
