
gen best mean std

0 92.690612 10.796668 30.165687

1 92.690612 25.981939 36.137400

2 92.731940 48.824556 37.735089

3 92.731940 56.760274 35.631815

4 92.731940 63.244984 35.524962

5 92.731940 68.654483 33.319482

6 93.131940 70.816219 32.749739

7 93.409567 68.091119 34.756646

8 93.409567 67.915858 33.668400

9 93.409567 67.599004 33.315632

10 93.409567 73.971456 31.362974

11 93.409567 74.507395 31.502201

12 93.409567 80.402621 27.566599

13 93.409567 76.745831 30.836661

14 93.409567 76.829947 31.092510

15 93.409567 81.120662 26.355177

16 93.409567 74.532715 32.136232

17 93.409567 74.154167 31.599375

18 93.409567 71.437082 33.152747

19 93.409567 70.029776 33.293438

20 93.409567 74.056969 30.388325

21 93.409567 74.102460 31.040917

22 93.409567 71.536016 31.593408

23 93.409567 74.495684 29.825448

24 93.409567 76.518919 28.924795

25 93.409567 88.594407 14.955993

26 93.409567 89.556629 15.040551

27 93.409567 88.471003 16.974400

28 93.409567 87.808088 17.962021

29 93.409567 89.084665 15.773374

30 93.409567 89.735398 13.795615
