
gen best mean std

0 39.179917 -3.755956 8.513311

1 39.179917 -1.883903 11.218259

2 48.153561 1.611916 15.374135

3 48.153561 8.936944 19.590743

4 48.059829 15.752250 20.015158

5 57.125069 25.080752 20.619763

6 57.125069 28.548842 21.023618

7 75.122264 30.450216 20.944308

8 75.122264 34.126908 20.319922

9 75.122264 35.656684 20.493564

10 75.122264 31.377742 21.636060

11 75.122264 32.499520 23.223050

12 75.122264 35.338087 22.331293

13 75.122264 39.748496 20.564111

14 75.122264 32.032301 25.228118

15 75.122264 38.333894 25.680888

16 75.122264 32.501490 29.265742

17 75.122264 42.633634 26.606072

18 75.122264 44.530653 30.315276

19 75.122264 47.723262 31.870003

20 75.122264 53.821367 32.488384

21 75.122264 54.801363 33.170479

22 75.122264 60.946888 28.821604

23 75.122264 54.662358 34.236987

24 75.122264 52.032113 35.076992

25 75.122264 57.529163 31.569741

26 75.122264 64.077599 25.325087

27 75.122264 60.019850 29.278351

28 75.122264 53.411938 34.352476

29 75.122264 64.269114 26.829795

30 75.122264 67.309842 22.338620
