
gen best mean std

0 57.179917 -3.225473 9.140694

1 57.179917 3.140434 15.548551

2 57.179917 16.674355 20.245342

3 57.179917 31.409644 16.574451

4 94.918596 44.137252 9.888611

5 94.918596 51.077509 9.126526

6 94.918596 55.964733 11.342002

7 94.918596 61.034573 13.530063

8 94.918596 68.646331 17.416105

9 94.918596 79.545119 18.674890

10 94.918596 89.680926 12.993629

11 94.918596 94.451020 4.738936

12 94.918596 94.918596 0.000000

13 94.918596 94.918596 0.000000

14 94.918596 94.918596 0.000000

15 94.918596 94.918596 0.000000

16 94.918596 94.918596 0.000000

17 94.918596 94.918596 0.000000

18 94.918596 94.918596 0.000000

19 94.918596 94.918596 0.000000

20 94.918596 94.918596 0.000000
