
gen best mean std

0 91.924826 16.572188 32.193318

1 93.202788 24.352340 32.376772

2 93.409567 45.500241 34.535754

3 93.409567 56.153143 33.182905

4 92.090612 62.459104 34.558681

5 93.409567 67.335770 33.982250

6 93.409567 71.069877 33.949256

7 93.409567 67.267670 34.815831

8 93.409567 70.590137 32.817301

9 93.375050 69.787550 32.235708

10 93.409567 72.366093 30.450212

11 93.409567 70.611172 31.939051

12 93.409567 73.800785 26.632092

13 93.409567 78.021359 27.278219

14 93.409567 72.822483 31.467426

15 93.375050 77.111225 28.440521

16 93.375050 77.342075 28.219418

17 93.409567 75.555026 30.447538

18 93.375050 79.671162 23.265114

19 93.375050 81.365826 23.959085

20 93.409567 82.027003 24.462121

21 93.375050 74.044077 31.833158

22 93.409567 77.547616 30.062345

23 93.375050 77.915748 27.131136

24 93.396054 78.851138 25.325676

25 93.409567 75.442251 29.499130

26 93.396054 81.408295 20.153742

27 93.396054 75.910360 25.962783

28 93.409567 84.437886 18.750997

29 93.409567 82.128057 22.555064

30 93.409567 85.298372 17.379324
