
gen best mean std

0 92.247040 10.913077 29.681219

1 92.290612 29.362631 36.363026

2 93.202788 52.445471 38.021112

3 93.331940 62.134824 35.292553

4 93.331940 69.162755 33.789676

5 93.331940 68.499083 34.621374

6 93.331940 73.166974 32.450693

7 93.331940 70.024397 34.016092

8 93.331940 71.668891 33.340512

9 93.331940 71.146651 33.645729

10 93.331940 71.779340 34.901009

11 93.331940 75.070786 27.152276

12 93.409567 71.577381 33.869344

13 93.409567 73.076060 32.928690

14 93.409567 76.355348 30.151981

15 93.331940 76.314139 30.463225

16 93.331940 76.563281 28.434816

17 93.331940 80.558330 26.538670

18 93.375050 84.463640 19.654325

19 93.331940 83.035204 25.536443

20 93.331940 86.179672 22.058571

21 93.331940 85.913380 23.155970

22 93.375050 86.219689 21.638592

23 93.375050 86.899206 22.063189

24 93.375050 87.734189 21.160171

25 93.375050 90.395461 13.764039

26 93.375050 88.329098 18.202005

27 93.375050 88.870145 17.219689

28 93.375050 86.852322 21.621824

29 93.375050 89.807561 15.374963

30 93.375050 90.081460 15.225617
