
gen best mean std

0 39.013548 -4.006506 7.392284

1 39.013548 1.391209 14.275205

2 47.897441 7.522459 17.851057

3 48.028738 16.094230 18.418927

4 48.028738 24.771965 16.653299

5 48.028738 28.063670 17.812318

6 66.168118 34.016441 15.769984

7 66.168118 33.252524 19.191846

8 75.197882 39.784445 17.921121

9 75.197882 36.361009 21.948717

10 75.197882 38.105423 20.911567

11 75.197882 34.184451 23.163587

12 75.197882 34.314080 23.500413

13 94.785064 39.457799 23.528270

14 94.785064 40.559725 23.643270

15 94.785064 39.007050 27.326193

16 94.785064 41.439102 24.807942

17 75.197882 43.223413 24.288216

18 75.197882 44.847163 23.483244

19 94.852506 39.144614 25.251126

20 94.852506 42.392768 25.155716
