
gen best mean std

0 65.983843 -2.649196 9.797301

1 65.983843 3.845533 17.479418

2 65.983843 19.275654 24.015615

3 65.983843 39.793218 21.987543

4 65.983843 52.861842 16.835097

5 65.983843 63.563570 7.093898

6 88.336369 66.386042 3.198949

7 88.336369 67.772045 6.064088

8 88.336369 69.895535 8.493225

9 88.336369 75.595429 11.066194

10 88.336369 83.418813 9.259451

11 88.336369 87.889318 3.129354

12 88.336369 88.336369 0.000000

13 88.336369 88.336369 0.000000

14 88.336369 88.336369 0.000000

15 88.336369 88.336369 0.000000

16 88.336369 88.336369 0.000000

17 88.336369 88.336369 0.000000

18 88.336369 88.336369 0.000000

19 88.336369 88.336369 0.000000

20 88.336369 88.336369 0.000000
