
gen best mean std

0 39.013548 -3.952352 6.978054

1 48.269900 -1.398868 10.832172

2 48.013548 3.712885 15.581719

3 48.049357 8.551355 17.463079

4 66.203942 15.247892 19.073812

5 75.013548 18.860910 20.133516

6 66.203942 22.802069 19.451628

7 75.013548 26.972166 20.517922

8 75.013548 28.037864 21.588436

9 66.200907 24.521686 22.723721

10 66.200907 29.982543 21.026472

11 66.200907 30.965146 22.038547

12 66.231679 29.283017 23.760373

13 94.785064 30.950282 25.316260

14 94.785064 33.783375 24.934913

15 91.569315 32.900954 25.993781

16 91.569315 34.901703 25.265380

17 94.785064 32.546743 25.996255

18 94.785064 33.160162 25.884786

19 75.269900 36.717225 26.566357

20 75.269900 42.249436 26.326765

21 75.269900 42.223726 26.911045

22 75.269900 49.705886 27.254643

23 94.852506 53.582793 30.415296

24 94.852506 67.420243 21.019857

25 94.852506 70.269300 21.223944

26 94.852506 71.830425 23.313630

27 94.852506 72.415688 29.517614

28 94.852506 77.233786 31.548086

29 94.852506 87.020608 24.267029

30 94.852506 88.049696 23.027801
