
gen best mean std

0 56.742332 1.306117 13.584767

1 65.996113 8.492499 17.605595

2 66.013548 21.207841 18.526421

3 66.013548 31.989835 16.061933

4 74.742332 41.907468 14.368282

5 74.742332 50.096627 14.284370

6 74.765589 59.918454 8.199050

7 74.765589 64.572268 10.855057

8 84.793424 68.532163 8.811357

9 84.793424 72.811116 5.662978

10 84.793424 74.641529 7.162025

11 84.793424 76.144372 6.569423

12 86.191410 77.151336 8.709009

13 86.191410 79.785947 7.596016

14 86.191410 81.280809 13.333835

15 88.018586 84.109662 8.581184

16 88.018586 85.594372 0.843838

17 88.018586 86.054952 0.823190

18 88.018586 86.010763 4.788491

19 88.018586 85.792439 6.384924

20 88.018586 87.256483 1.500778

21 88.018586 87.344992 3.802281

22 88.018586 88.018586 0.000000

23 88.018586 88.018586 0.000000

24 88.018586 87.705823 3.111948

25 88.018586 88.018586 0.000000

26 88.018586 88.018586 0.000000

27 88.018586 88.018586 0.000000

28 88.018586 88.018586 0.000000

29 88.018586 88.018586 0.000000

30 88.018586 88.018586 0.000000
