
gen best mean std

0 39.081106 -3.061038 8.878796

1 48.013548 -0.816492 11.573829

2 48.059829 4.567980 16.374921

3 75.028738 12.762571 18.656374

4 75.028738 20.993497 19.315984

5 66.097367 24.564819 19.775192

6 75.018586 25.958602 20.261394

7 75.018586 28.588894 20.664917

8 94.852506 30.220063 20.654996

9 94.785064 24.837498 23.927146

10 94.785064 30.163470 22.955566

11 94.785064 31.647774 23.304168

12 94.852506 32.786672 24.578469

13 94.852506 32.865300 24.738422

14 94.852506 35.905330 24.570173

15 94.852506 39.064358 25.904327

16 94.852506 43.766192 25.972317

17 94.852506 47.295880 27.942999

18 94.852506 53.048768 25.850444

19 94.852506 57.299137 26.296165

20 94.852506 62.410119 26.642447
