
gen best mean std

0 65.750025 2.522585 15.480600

1 65.750025 15.377657 21.526203

2 74.873131 29.858771 22.154588

3 84.967552 47.324059 16.722273

4 84.967552 58.806476 11.769467

5 86.591410 66.563733 11.028659

6 86.591410 73.508270 9.712577

7 86.591410 78.976220 8.182347

8 86.591410 82.904171 7.727433

9 86.591410 85.176665 4.902370

10 86.591410 86.173220 2.292306

11 88.643021 86.577310 0.245765

12 88.643021 86.622184 0.249378

13 88.643021 86.663216 0.377045

14 88.643021 86.735023 0.523462

15 88.643021 86.868377 0.701084

16 88.643021 87.165861 0.921171

17 88.643021 87.699280 1.022518

18 88.643021 87.995309 6.017760

19 88.643021 88.624708 0.182211

20 88.643021 88.643021 0.000000

21 88.643021 88.643021 0.000000

22 88.643021 88.643021 0.000000

23 88.643021 88.643021 0.000000

24 88.643021 88.643021 0.000000

25 88.643021 88.643021 0.000000

26 88.643021 88.643021 0.000000

27 88.643021 88.643021 0.000000

28 88.643021 88.643021 0.000000

29 88.643021 88.643021 0.000000

30 88.643021 88.643021 0.000000
