
gen best mean std

0 3.228559 -5.265430 2.149737

1 3.228559 -4.347388 3.308100

2 21.269900 -1.651576 6.813911

3 21.269900 3.244679 8.828415

4 47.675641 7.909087 12.213738

5 94.785064 13.540105 16.746682

6 94.785064 18.061538 21.932899

7 94.785064 20.530006 22.612996

8 94.785064 31.308496 22.824428

9 94.785064 33.777982 21.368687

10 94.807043 37.733792 26.463119

11 94.807043 45.172317 27.942195

12 94.785064 46.569544 23.993364

13 94.785064 46.586805 24.322148

14 94.785064 52.227747 26.812157

15 94.785064 56.267373 27.456836

16 94.785064 54.821475 32.910327

17 94.785064 59.094274 33.803489

18 94.785064 63.061412 36.303475

19 94.785064 68.740438 33.944012

20 94.785064 82.415572 26.570789

21 94.785064 80.457517 31.516685

22 94.785064 77.498014 34.542274

23 94.785064 74.737452 34.607557

24 94.785064 75.869804 34.719636

25 94.785064 77.312663 32.722437

26 94.785064 83.584114 28.660287

27 94.785064 84.409428 23.610510

28 94.785064 83.212211 29.352408

29 94.785064 73.298602 36.259976

30 94.785064 75.311820 33.753736
