
gen best mean std

0 39.122264 -3.272214 7.825334

1 11.613121 -3.180664 4.650018

2 39.038995 5.041301 12.867729

3 48.062464 19.752137 17.444921

4 48.062464 26.885225 15.242965

5 48.062464 36.135281 12.434075

6 48.062464 40.965524 9.488264

7 56.993647 45.073355 4.504552

8 57.119467 47.457946 2.770719

9 57.119467 49.132894 3.450237

10 57.119467 51.678801 4.415997

11 57.119467 54.583290 4.043570

12 57.119467 56.576449 2.138333

13 57.119467 57.119467 0.000000

14 57.119467 56.936368 1.281693

15 94.785064 58.626091 7.380920

16 94.785064 58.626091 7.380920

17 94.785064 57.872779 5.273184

18 57.119467 57.119467 0.000000

19 57.119467 57.119467 0.000000

20 57.119467 57.119467 0.000000

21 57.119467 57.119467 0.000000

22 94.790514 59.562289 8.991411

23 94.790514 61.639993 12.241641

24 94.790514 65.947097 15.464044

25 94.790514 74.627760 18.910347

26 94.900134 90.833656 11.321751

27 94.900134 94.805861 0.038037

28 94.900134 94.812438 0.043848

29 94.900134 94.430003 2.774604

30 94.900134 94.865055 0.051135

31 94.900134 93.957917 6.564232

32 94.900134 93.784915 7.806529

33 94.900134 92.887335 14.089590

34 94.900134 93.028714 9.340571

35 94.900134 94.900134 0.000000

36 94.900134 94.900134 0.000000

37 94.900134 94.900134 0.000000

38 94.900134 94.900134 0.000000

39 94.900134 94.900134 0.000000

40 94.900134 93.082459 12.723724

41 94.900134 94.900134 0.000000

42 94.900134 94.900134 0.000000

43 94.900134 94.900134 0.000000

44 94.900134 94.900134 0.000000

45 94.900134 94.900134 0.000000

46 94.900134 94.900134 0.000000

47 94.900134 94.900134 0.000000

48 94.900134 94.900134 0.000000

49 94.900134 94.900134 0.000000

50 94.900134 94.325729 4.020830
