
gen best mean std

0 56.755833 1.977842 14.986384

1 56.755833 11.427575 19.800552

2 65.606409 17.947736 21.246889

3 74.757777 21.473923 22.869996

4 74.757777 31.127672 25.945752

5 74.757777 35.526419 25.605784

6 86.593424 35.955325 27.997415

7 86.593424 45.606432 27.549736

8 86.593424 47.991489 27.965200

9 86.593424 49.157576 28.489767

10 89.216064 58.609633 27.922310

11 89.216064 44.014185 33.058552

12 89.216064 47.605021 31.566044

13 86.866602 52.153211 30.457686

14 88.066602 52.657609 31.825433

15 87.266602 59.314700 28.651611

16 88.415851 59.796455 29.114858

17 88.818586 48.280368 33.442716

18 88.266602 58.624065 29.459093

19 88.818586 66.141104 28.440342

20 88.818586 66.748046 28.478317

21 88.818586 72.756841 26.623754

22 88.818586 78.994120 20.588193

23 88.818586 74.577151 25.498705

24 88.818586 76.309403 23.724118

25 88.818586 73.011980 27.075315

26 88.818586 76.820801 23.514201

27 88.818586 77.290122 23.449148

28 88.818586 78.718436 22.400755

29 88.818586 75.768745 25.445945

30 88.818586 75.307088 27.705123
