
gen best mean std

0 20.567060 -5.092315 3.881133

1 75.013548 -0.998801 14.555611

2 75.013548 2.986156 18.670284

3 75.013548 8.565259 20.560474

4 75.013548 21.623920 20.424159

5 75.013548 24.682709 16.865838

6 75.013548 29.270188 15.523011

7 75.013548 36.049994 13.230407

8 66.197882 39.621136 10.693803

9 66.197882 41.253762 12.764199

10 66.197882 43.065510 7.862437

11 57.197882 42.700632 7.844910

12 66.091917 45.947657 9.270929

13 66.091917 46.289321 8.809169

14 75.013548 47.539571 9.586493

15 75.013548 48.452568 8.811566

16 75.013548 49.149435 11.894071

17 75.013548 49.139038 12.016167

18 66.073074 47.357370 12.161149

19 66.073074 48.792605 15.255429

20 66.091917 55.811987 10.951432

21 66.091917 58.514314 9.915901

22 75.013548 62.288276 8.653432

23 94.785064 67.077702 8.982265

24 94.785064 71.775160 11.836831

25 94.785064 82.293540 13.727905

26 94.785064 93.241908 6.194255

27 94.785064 94.785064 0.000000

28 94.785064 94.785064 0.000000

29 94.785064 94.785064 0.000000

30 94.785064 94.785064 0.000000

31 94.785064 94.785064 0.000000

32 94.785064 94.785064 0.000000

33 94.785064 94.785064 0.000000

34 94.785064 93.669634 7.808012

35 94.785064 93.314761 10.292123

36 94.785064 94.785064 0.000000

37 94.785064 94.785064 0.000000

38 94.790514 94.785173 0.000763

39 94.785064 94.785064 0.000000

40 94.785064 94.785064 0.000000

41 94.785064 94.785064 0.000000

42 94.785064 93.669634 7.808012

43 94.785064 94.785064 0.000000

44 94.785064 94.785064 0.000000

45 94.785064 94.785064 0.000000

46 94.785064 94.785064 0.000000

47 94.785064 94.785064 0.000000

48 94.785064 94.785064 0.000000

49 94.785064 94.785064 0.000000

50 94.785064 94.785064 0.000000
