
gen best mean std

0 75.213103 2.614800 16.164165

1 75.213103 16.145414 20.172988

2 75.213103 32.104319 18.942433

3 74.742332 47.432387 14.896376

4 74.750025 56.686019 9.478618

5 74.750025 62.031723 6.958965

6 74.757777 66.394032 7.042719

7 74.757777 70.214833 6.007190

8 74.757777 73.356043 4.847322

9 74.757777 74.613283 1.086055

10 84.443021 74.892063 1.460131

11 84.443021 74.674762 4.927222

12 84.443021 75.319431 2.722091

13 84.443021 76.251683 3.422963

14 85.655814 78.263228 4.786262

15 85.655814 81.292557 4.333702

16 85.655814 83.766340 2.293402

17 85.655814 84.431763 0.737218

18 85.655814 84.531569 1.389663

19 85.655814 84.346026 4.831664

20 86.954995 84.903433 2.496185

21 86.967552 85.486286 1.493891

22 86.967552 85.859654 0.468383

23 86.967552 86.031254 0.550643

24 86.967552 86.362669 0.602604

25 89.440905 86.766415 0.506509

26 89.440905 86.970952 0.411238

27 89.440905 86.749105 3.048545

28 89.440905 87.239594 0.733278

29 89.440905 87.569324 0.974475

30 89.440905 88.274203 1.134308
