
gen best mean std

0 91.490612 12.180801 32.338675

1 92.796054 33.510024 38.326799

2 92.796054 61.122261 32.605490

3 93.202788 84.548005 16.323428

4 93.202788 90.925774 4.589242

5 93.202788 92.306881 0.676766

6 93.202788 92.690541 0.449776

7 93.202788 92.924325 0.252507

8 93.202788 93.075734 0.186854

9 93.202788 93.187552 0.075882

10 93.202788 93.202788 0.000000

11 93.202788 93.202788 0.000000

12 93.202788 93.202788 0.000000

13 93.202788 93.202788 0.000000

14 93.202788 93.202788 0.000000

15 93.202788 93.202788 0.000000

16 93.202788 93.202788 0.000000

17 93.202788 93.202788 0.000000

18 93.202788 93.202788 0.000000

19 93.202788 93.202788 0.000000

20 93.202788 93.202788 0.000000

21 93.202788 93.202788 0.000000

22 93.202788 93.202788 0.000000

23 93.202788 93.202788 0.000000

24 93.202788 93.202788 0.000000

25 93.202788 93.202788 0.000000

26 93.202788 93.202788 0.000000

27 93.202788 93.202788 0.000000

28 93.202788 93.202788 0.000000

29 93.202788 93.202788 0.000000

30 93.202788 93.202788 0.000000
