
gen best mean std

0 39.013548 -3.349396 8.405912

1 75.013548 -0.525137 13.776488

2 75.013548 6.603466 18.251333

3 94.950144 11.183861 21.959093

4 94.950144 20.140186 22.258253

5 75.269900 22.139324 23.754774

6 75.269900 27.669973 22.619692

7 75.269900 26.042837 23.346173

8 75.269900 28.820548 22.821767

9 75.269900 24.700355 25.957349

10 75.269900 29.034808 23.764638

11 75.269900 29.580591 25.393394

12 75.197882 31.252905 26.248305

13 75.197882 32.259199 25.495392

14 75.016064 35.669002 26.481665

15 94.852506 30.957407 27.952966

16 94.852506 36.730846 26.218976

17 94.852506 37.800496 31.667285

18 94.852506 41.816118 32.370671

19 94.852506 41.383764 34.413286

20 94.852506 44.171904 33.558588

21 94.852506 56.858421 34.548445

22 94.852506 60.567821 37.126099

23 94.852506 64.406863 39.126747

24 94.918596 69.061156 37.164674

25 94.918596 75.075495 35.483187

26 94.918596 79.081954 29.643616

27 94.918596 76.431608 33.494685

28 94.918596 71.684247 34.607871

29 94.918596 68.487532 36.113411

30 94.918596 66.020106 38.905247
