
gen best mean std

0 91.976119 11.707564 31.065135

1 93.202788 31.982218 38.129003

2 93.202788 54.247017 37.516278

3 93.202788 71.653352 30.592108

4 93.202788 72.735599 31.862016

5 93.202788 75.354028 27.845339

6 93.202788 74.196632 31.587090

7 93.409567 78.767617 27.398337

8 93.409567 75.732266 28.527897

9 93.409567 77.116293 26.019644

10 93.409567 77.007885 27.922488

11 93.409567 82.121876 21.265702

12 93.409567 79.019438 25.037682

13 93.409567 79.685745 26.305944

14 93.409567 79.513536 26.639880

15 93.409567 84.006822 20.007425

16 93.409567 85.771543 19.743607

17 93.409567 87.358568 16.766332

18 93.409567 87.638831 17.081475

19 93.409567 88.649421 14.985958

20 93.409567 90.111677 10.537810

21 93.409567 90.347071 9.183792

22 93.409567 89.754704 12.652315

23 93.409567 90.392205 11.723702

24 93.409567 89.635810 14.096268

25 93.409567 88.376281 14.953626

26 93.409567 90.258977 11.936445

27 93.409567 89.005172 14.339006

28 93.409567 91.549032 6.708137

29 93.409567 90.238659 11.213017

30 93.409567 91.586955 5.952356
