
gen best mean std

0 56.742332 0.280315 13.351996

1 56.868774 10.036024 17.299540

2 57.454823 24.895400 17.185323

3 65.719604 38.348572 15.081256

4 86.391410 49.781938 13.263332

5 86.391410 58.778768 10.657019

6 86.391410 65.254945 11.508343

7 86.391410 72.520312 11.591479

8 86.791410 79.530247 10.766388

9 86.791410 85.215308 6.333618

10 86.813791 86.342350 1.467268

11 86.813791 86.377612 2.109293

12 86.813791 86.650417 0.192207

13 86.813791 86.767200 0.099267

14 86.813791 86.795103 0.008308

15 88.193424 86.805908 0.098921

16 86.813791 86.805398 0.010835

17 87.793424 86.834919 0.141512

18 87.793424 86.862509 0.199802

19 87.793424 86.936463 0.299361

20 87.793424 87.012461 0.352739

21 87.793424 87.206547 0.401088

22 87.793424 87.464288 0.343306

23 88.193424 87.648693 0.197022

24 88.193424 87.731084 0.171911

25 88.193424 87.693117 1.558446

26 88.193424 87.849424 0.138795

27 88.193424 87.901424 0.177584

28 88.193424 88.035424 0.195540

29 88.193424 88.177424 0.078384

30 88.193424 88.193424 0.000000
