
gen best mean std

0 92.047040 14.172988 33.846493

1 91.931940 30.488888 39.302417

2 92.932142 52.327277 38.262719

3 92.932142 69.445772 32.023910

4 91.931940 70.147061 33.332543

5 93.202788 70.690682 33.517392

6 93.202788 67.623452 36.382247

7 93.002788 72.311945 32.674865

8 93.002788 74.032048 33.004627

9 93.002788 74.663916 32.003058

10 93.072124 71.931377 34.240064

11 93.072124 76.238153 28.695825

12 93.209567 75.365644 30.143642

13 93.072124 73.628128 29.681369

14 93.209567 75.703778 28.762160

15 93.209567 78.795925 27.261516

16 93.409567 81.412240 24.652012

17 93.409567 83.893229 22.379955

18 93.409567 86.033810 20.524959

19 93.937405 87.577170 16.974161

20 93.937405 88.109142 15.926291

21 93.937405 88.106130 16.868850

22 93.937405 87.081650 18.383413

23 93.937405 89.665997 11.151926

24 93.937405 87.701926 16.625621

25 93.937405 88.117456 17.052914

26 93.937405 88.035038 17.589923

27 93.937405 89.493089 13.291901

28 93.937405 89.287510 15.270796

29 93.937405 88.643752 17.495467

30 93.937405 88.585815 16.284792
