
gen best mean std

0 92.331940 9.008305 29.627479

1 92.937405 26.030137 38.941910

2 92.937405 48.874905 38.682351

3 92.937405 63.944009 34.685906

4 92.937405 75.911828 28.588594

5 92.937405 71.148934 32.272472

6 93.409567 76.203976 30.483089

7 93.409567 75.548461 28.938112

8 93.331940 73.317354 31.782832

9 92.937405 74.120120 30.578818

10 92.690612 81.942158 23.537606

11 92.937405 75.683608 29.125737

12 92.937405 80.593018 23.775757

13 92.937405 77.957028 27.186715

14 92.937405 83.363151 22.288878

15 92.937405 84.189765 23.727231

16 92.937405 85.519705 21.255233

17 92.937405 84.141258 23.306402

18 92.937405 86.683689 20.131956

19 92.937405 86.355925 20.861175

20 92.694668 86.632972 20.252694

21 92.694668 88.598636 16.142793

22 92.694668 87.230477 19.437840

23 92.694668 87.781980 19.068445

24 92.694668 86.940523 20.310549

25 92.694668 88.545845 16.556008

26 92.694668 86.969147 19.199285

27 92.694668 88.701252 15.729959

28 92.694668 87.095235 18.605503

29 92.694668 86.546604 20.906840

30 92.694668 88.554456 15.312396
