
gen best mean std

0 56.775442 1.118518 14.371760

1 56.775442 11.255948 18.413419

2 66.401578 27.811846 21.042611

3 66.401578 44.374252 17.393412

4 74.759724 57.526853 8.739788

5 88.193424 62.111104 6.460225

6 88.193424 66.003169 7.220511

7 88.193424 69.213757 8.418434

8 88.193424 74.624703 9.403791

9 88.643021 79.792758 8.800534

10 89.193424 84.726269 7.350967

11 89.993424 88.014698 1.709121

12 89.993424 88.412535 0.359065

13 89.993424 88.565446 0.424508

14 89.993424 88.905150 0.563649

15 89.993424 89.322991 0.651960

16 89.993424 89.792624 0.461766

17 89.993424 89.971920 0.155478

18 89.993424 89.993424 0.000000

19 89.993424 89.993424 0.000000

20 89.993424 89.993424 0.000000

21 89.993424 89.993424 0.000000

22 89.993424 89.993424 0.000000

23 89.993424 89.993424 0.000000

24 89.993424 89.993424 0.000000

25 89.993424 89.993424 0.000000

26 89.993424 89.993424 0.000000

27 89.993424 89.993424 0.000000

28 89.993424 89.993424 0.000000

29 89.993424 89.993424 0.000000

30 89.993424 89.993424 0.000000
