
gen best mean std

0 92.537040 11.329659 31.648356

1 92.537040 32.304155 37.888990

2 92.537040 69.002410 29.550325

3 92.537040 86.958607 11.191631

4 92.658358 90.850204 4.160970

5 92.796054 92.073046 0.645530

6 92.796054 92.441062 0.427619

7 92.796054 92.571690 0.095579

8 92.796054 92.607742 0.109444

9 93.202788 92.672235 0.088575

10 93.202788 92.726928 0.138017

11 93.202788 92.795095 0.160445

12 93.202788 92.871783 0.171708

13 93.202788 92.981420 0.188836

14 93.202788 93.088140 0.284867

15 93.202788 92.960625 3.173478

16 93.202788 93.201788 0.014107

17 93.202788 93.202788 0.000000

18 93.202788 93.202788 0.000000

19 93.202788 93.202788 0.000000

20 93.202788 93.202788 0.000000

21 93.202788 93.174921 0.393103

22 93.202788 93.202788 0.000000

23 93.202788 93.202788 0.000000

24 93.202788 93.202788 0.000000

25 93.202788 93.202788 0.000000

26 93.202788 93.202788 0.000000

27 93.202788 93.202788 0.000000

28 93.202788 93.202788 0.000000

29 93.202788 93.202788 0.000000

30 93.202788 93.202788 0.000000
