
gen best mean std

0 48.041575 -3.024651 9.351189

1 48.041575 1.421451 14.397284

2 48.041575 8.200681 17.618114

3 48.041575 20.063751 18.243071

4 57.018586 36.458383 13.175764

5 57.018586 44.925185 6.814615

6 57.018586 48.882130 4.369064

7 57.144928 51.767311 4.428325

8 84.275641 54.915814 4.408494

9 84.275641 57.663064 5.000221

10 84.275641 58.761490 6.558416

11 84.275641 61.998452 10.072325

12 84.275641 67.238796 12.382615

13 84.275641 76.041354 11.382749

14 84.275641 82.421247 5.988979

15 84.275641 84.275641 0.000000

16 84.275641 84.275641 0.000000

17 84.275641 84.275641 0.000000

18 84.275641 84.275641 0.000000

19 84.275641 84.275641 0.000000

20 84.275641 84.275641 0.000000

21 84.275641 84.275641 0.000000

22 84.275641 84.275641 0.000000

23 84.275641 84.275641 0.000000

24 84.275641 84.275641 0.000000

25 84.275641 84.275641 0.000000

26 84.275641 84.275641 0.000000

27 84.275641 84.275641 0.000000

28 84.275641 84.275641 0.000000

29 84.275641 84.275641 0.000000

30 84.275641 84.275641 0.000000

31 84.275641 84.275641 0.000000

32 84.275641 84.275641 0.000000

33 84.275641 84.275641 0.000000

34 84.275641 84.275641 0.000000

35 84.275641 84.275641 0.000000

36 84.275641 84.275641 0.000000

37 84.275641 84.275641 0.000000

38 84.275641 84.275641 0.000000

39 84.275641 84.275641 0.000000

40 84.275641 84.275641 0.000000

41 84.275641 84.275641 0.000000

42 84.275641 84.275641 0.000000

43 84.275641 84.275641 0.000000

44 84.275641 84.275641 0.000000

45 84.275641 84.275641 0.000000

46 84.275641 84.275641 0.000000

47 84.275641 84.275641 0.000000

48 84.275641 84.275641 0.000000

49 84.275641 84.275641 0.000000

50 84.275641 84.275641 0.000000
