
gen best mean std

0 91.937040 7.489133 27.955554

1 93.202788 20.493385 33.663059

2 92.532142 39.949197 38.087796

3 93.202788 55.894609 36.475269

4 93.202788 67.556856 33.312969

5 93.202788 71.143577 31.014010

6 93.202788 72.906636 29.435792

7 93.202788 73.876718 27.762433

8 93.202788 74.871734 25.689299

9 93.409567 76.107566 26.059153

10 93.409567 78.199430 25.460763

11 93.409567 77.759674 24.064034

12 93.409567 78.429021 24.058159

13 93.409567 82.176325 20.988908

14 93.409567 85.789279 16.812954

15 93.409567 83.744617 19.855679

16 93.409567 86.918994 16.613870

17 93.409567 88.365723 13.942413

18 93.409567 89.700241 9.901967

19 93.409567 89.227091 12.697957

20 93.409567 88.880933 13.827416

21 93.409567 89.231086 14.616116

22 93.409567 89.837364 11.443968

23 93.409567 90.257596 12.283624

24 93.409567 90.262671 10.539524

25 93.409567 90.518894 9.136089

26 94.209567 90.586620 9.835947

27 94.209567 89.581045 14.596563

28 94.209567 89.490055 12.777785

29 94.209567 90.145390 13.908637

30 94.209567 90.366682 11.624906
