
gen best mean std

0 48.008535 -3.007615 8.709871

1 48.008535 -0.764462 11.303101

2 39.179917 3.944422 14.831442

3 66.256997 10.709294 18.024312

4 94.852506 16.951215 19.713669

5 94.852506 21.327211 21.555109

6 94.790514 25.229684 21.123784

7 94.852506 26.981765 21.634093

8 94.852506 29.760857 21.252456

9 94.852506 28.344721 23.050637

10 94.852506 29.184787 23.896134

11 94.852506 30.120555 24.863985

12 94.852506 35.184641 23.813944

13 94.852506 37.652694 23.368619

14 94.852506 40.004213 25.046151

15 94.852506 44.853188 26.569880

16 94.852506 44.299659 26.817777

17 94.852506 50.522686 25.818427

18 94.852506 51.081515 27.079510

19 94.852506 53.160206 28.996528

20 94.852506 55.517450 31.349308

21 94.852506 57.647877 33.402135

22 94.918596 58.629456 34.524778

23 94.852506 64.767934 34.128704

24 94.852506 75.628297 31.220828

25 94.852506 79.439599 29.922577

26 94.852506 82.278218 28.504306

27 94.852506 82.744180 28.851557

28 94.852506 86.434442 25.500460

29 94.852506 83.126810 28.832033

30 94.852506 84.112474 26.868297
