
gen best mean std

0 56.576753 -2.196119 10.367191

1 56.576753 4.413077 15.783331

2 56.969315 15.856625 19.182675

3 56.969315 29.561472 16.772137

4 66.269900 37.780655 14.968387

5 66.269900 43.664165 13.057326

6 66.269900 50.810849 10.871995

7 66.269900 56.075448 8.675176

8 75.156456 58.607813 7.106071

9 75.156456 61.477991 5.554209

10 75.156456 62.606999 8.767129

11 94.918596 65.633437 4.975897

12 94.918596 67.102644 5.360652

13 94.918596 67.968280 8.438282

14 94.918596 69.762081 7.568059

15 94.918596 72.620802 10.646217

16 94.918596 77.111634 9.308497

17 94.918596 81.888804 11.945756

18 94.918596 86.839644 10.518820

19 94.918596 90.860803 10.153998

20 94.918596 94.621362 2.405916
