
gen best mean std

0 21.269900 -4.740561 4.686643

1 47.892977 -2.109416 10.426821

2 47.892977 2.992505 15.158723

3 56.624975 9.753703 18.913202

4 47.897441 17.209622 18.890285

5 65.593120 27.205026 20.256858

6 57.018586 28.668503 21.737868

7 57.018586 32.281709 20.576896

8 57.018586 43.803566 14.152035

9 57.018586 46.744272 15.976647

10 57.018586 53.582644 8.237924

11 94.785064 53.463335 16.160742

12 94.785064 51.113403 18.293825

13 94.785064 45.735031 24.934940

14 94.785064 51.273833 15.973021

15 74.554280 52.131537 14.623561

16 74.554280 53.027719 14.425261

17 74.554280 53.215723 11.658625

18 74.554280 54.303550 11.123966

19 57.018586 46.416313 20.363370

20 57.018586 54.490451 6.531985

21 57.018586 50.206199 18.077386

22 57.018586 54.493533 7.207790

23 57.018586 54.146715 12.488425

24 57.021114 48.399279 19.323355

25 57.021114 51.973658 12.085687

26 57.018586 51.808786 13.324689

27 57.018586 48.933344 16.072040

28 57.018586 49.833510 15.620758

29 57.018586 52.690275 10.735322

30 57.018586 52.162862 13.745114
