
gen best mean std

0 39.013548 -2.599295 9.904173

1 39.013548 0.532933 12.836324

2 48.111122 6.355935 16.562408

3 66.269900 12.917451 20.372411

4 66.269900 18.719766 21.101972

5 75.028738 26.121638 19.462185

6 94.852506 30.304453 20.890000

7 94.900134 29.220544 24.194555

8 94.900134 34.145004 24.069896

9 94.900134 33.930242 25.887102

10 94.900134 35.670243 25.014130

11 94.900134 41.741307 24.327149

12 94.918596 41.236122 24.165927

13 94.900134 40.756630 26.409641

14 94.900134 44.163374 24.951541

15 94.900134 51.483298 22.342094

16 94.900134 53.257263 23.238208

17 94.900134 56.328142 22.570763

18 94.785064 57.007884 23.681560

19 94.785064 59.397626 22.954343

20 94.852506 60.061238 24.407937

21 94.852506 61.660853 26.720687

22 94.918596 62.654084 27.025757

23 94.918596 67.263385 27.733089

24 94.918596 65.571442 32.443003

25 94.918596 76.472811 30.739821

26 94.918596 72.716927 33.720472

27 94.918596 73.272614 32.391487

28 94.918596 68.171660 35.710080

29 94.852506 69.688304 32.351168

30 94.918596 67.908071 34.007205
