
gen best mean std

0 39.179917 -2.819506 9.848321

1 39.179917 2.077447 14.387787

2 94.785064 8.337363 19.968319

3 75.139214 20.127795 23.145104

4 65.670279 21.752231 23.188867

5 65.670279 25.775657 22.595561

6 65.670279 27.009623 24.655953

7 65.670279 29.609685 23.719264

8 65.670279 26.833728 25.904766

9 66.001063 37.536332 24.340919

10 85.056997 36.988332 26.852291

11 94.785064 44.460946 27.141658

12 85.056997 49.661902 28.422827

13 85.056997 53.889227 28.136455

14 94.385064 64.157594 25.084364

15 94.785064 61.145262 32.394713

16 94.785064 65.374134 34.249171

17 94.918596 58.245347 37.478626

18 94.918596 63.291045 36.326262

19 94.918596 61.274472 35.474380

20 94.918596 59.665316 35.709980

21 94.918596 60.347188 38.794627

22 94.918596 60.550684 38.680265

23 94.918596 80.644343 29.867989

24 94.918596 76.284173 36.232862

25 94.918596 75.821627 36.232989

26 94.918596 74.735202 37.073861

27 94.918596 80.765024 31.377484

28 94.918596 78.518220 32.156340

29 94.918596 81.642048 29.324903

30 94.918596 74.906959 35.959730
