
gen best mean std

0 84.613791 0.391192 14.589429

1 56.763630 4.889456 14.031372

2 56.742332 16.748908 17.260073

3 56.866602 29.879212 18.140369

4 57.165189 40.771248 15.940233

5 87.418586 54.292059 12.585824

6 87.418586 59.605774 9.495874

7 87.418586 63.456067 10.308615

8 87.418586 68.917722 11.615293

9 87.418586 77.127912 10.889391

10 88.593424 81.814759 9.271391

11 88.593424 83.309517 10.780898

12 88.593424 84.857602 9.199593

13 88.593424 86.679070 4.990513

14 89.219983 87.312494 4.412769

15 89.219983 86.113254 8.467577

16 89.219983 88.587155 0.406621

17 89.219983 88.111281 4.629889

18 89.219983 88.950563 0.310194

19 89.219983 89.169859 0.169981

20 89.219983 89.219983 0.000000

21 89.219983 89.219983 0.000000

22 89.219983 89.219983 0.000000

23 89.219983 89.219983 0.000000

24 89.219983 89.219983 0.000000

25 89.219983 89.219983 0.000000

26 89.219983 89.219983 0.000000

27 89.219983 89.219983 0.000000

28 89.219983 89.219983 0.000000

29 89.219983 89.219983 0.000000

30 89.219983 89.219983 0.000000
