
gen best mean std

0 74.734699 0.284128 13.858255

1 86.391410 5.922894 15.958877

2 86.391410 14.580653 18.178540

3 74.765589 18.651781 17.726942

4 75.206986 20.847025 20.196734

5 86.391410 23.276258 21.615661

6 85.040905 25.435177 22.451929

7 85.567552 30.934085 24.563878

8 85.567552 32.767197 25.262067

9 86.391410 43.515356 23.806882

10 91.529262 42.982231 27.426594

11 89.217915 45.713860 27.973609

12 88.418586 51.976342 26.303637

13 91.254579 50.731572 26.872671

14 91.254579 52.151567 28.319516

15 91.254579 56.348542 28.207878

16 91.254579 55.817737 30.041447

17 91.254579 62.619831 27.173656

18 91.254579 60.841694 27.989839

19 91.254579 59.355378 29.480748

20 91.254579 66.438666 29.735946

21 91.254579 67.645859 30.817018

22 91.454579 70.238077 28.162493

23 91.454579 71.895393 29.313343

24 91.454579 78.893945 22.570289

25 91.454579 83.525430 22.112178

26 91.454579 82.699014 24.176413

27 91.911122 84.467371 20.048392

28 91.911122 82.579237 21.961580

29 91.911122 83.169185 22.451191

30 91.911122 85.542156 18.892619
