
gen best mean std

0 39.241098 -2.420908 9.317077

1 48.213103 0.309542 11.383473

2 48.213103 2.500754 13.034212

3 48.213103 8.489742 14.993357

4 57.237949 10.781534 15.801087

5 57.237949 16.784883 16.930334

6 57.237949 22.338522 17.670356

7 57.237949 25.462024 18.081701

8 75.269900 28.381788 17.746318

9 66.269900 31.242749 16.753572

10 94.785064 34.424352 17.787777

11 94.918596 32.596587 20.532464

12 75.269900 32.854765 19.927722

13 94.785064 34.807015 19.351868

14 94.785064 35.407799 20.173729

15 75.269900 35.886201 21.105778

16 94.785064 41.888672 19.419860

17 94.852506 45.219378 20.835216

18 94.852506 49.034035 22.224931

19 94.852506 50.225226 26.036503

20 94.852506 51.437698 25.975898

21 94.852506 52.943806 26.983696

22 94.852506 55.402866 27.639360

23 94.852506 55.131281 28.908262

24 94.918596 60.122184 27.068475

25 94.918596 60.949245 29.197248

26 94.918596 66.980250 29.136998

27 94.918596 67.767064 32.479255

28 94.918596 70.365642 30.885598

29 94.918596 67.081258 36.117209

30 94.918596 75.373995 32.424099
