
gen best mean std

0 39.116678 -2.558564 9.598960

1 75.013548 2.312512 15.113367

2 57.256997 9.167254 18.890667

3 57.116678 17.139418 20.216168

4 75.108356 25.692157 19.879541

5 75.108356 28.315141 20.237813

6 75.108356 28.532849 21.358582

7 76.292245 31.847437 22.776781

8 85.491917 34.308576 22.871292

9 95.016393 33.661930 23.642555

10 95.016393 32.928180 25.156412

11 95.016393 31.126979 24.991782

12 95.016393 32.983784 24.325369

13 95.016393 31.105161 24.791628

14 95.016393 32.308222 25.440969

15 95.016393 35.346219 24.982067

16 95.016393 37.144336 25.777748

17 95.016393 40.681879 24.743332

18 95.016393 44.739389 27.185899

19 95.016393 50.252312 28.002571

20 95.016393 58.497247 24.515788

21 95.016393 64.591336 22.574395

22 95.016393 67.137527 22.982201

23 95.016393 62.511179 28.013242

24 95.016393 61.826456 29.037981

25 95.016393 59.331403 31.398216

26 95.016393 63.628727 33.256426

27 95.016393 66.003982 37.118966

28 95.016393 79.631962 30.930215

29 95.016393 86.463050 26.058702

30 95.016393 83.152013 30.752401
