
gen best mean std

0 91.924826 12.960717 32.874426

1 91.972379 38.523848 40.071381

2 91.924826 67.962824 30.793373

3 92.647040 86.399607 10.488929

4 92.647040 90.785812 2.434505

5 92.690612 91.597698 0.708735

6 92.690612 91.826732 0.510675

7 92.690612 92.082246 0.554242

8 92.731940 92.280166 2.523157

9 92.731940 92.510928 1.814939

10 92.731940 92.688058 0.018718

11 93.331940 92.710453 0.090226

12 93.331940 92.750796 0.160627

13 93.331940 92.843893 0.254084

14 93.331940 93.013113 0.300293

15 93.331940 93.232940 0.222708

16 93.331940 93.331940 0.000000

17 93.331940 93.331940 0.000000

18 93.331940 93.331940 0.000000

19 93.331940 93.331940 0.000000

20 93.331940 93.331940 0.000000

21 93.331940 93.331940 0.000000

22 93.331940 93.331940 0.000000

23 93.331940 93.331940 0.000000

24 93.331940 93.331940 0.000000

25 93.331940 93.331940 0.000000

26 93.331940 93.331940 0.000000

27 93.331940 93.331940 0.000000

28 93.331940 93.331940 0.000000

29 93.331940 93.331940 0.000000

30 93.331940 93.331940 0.000000
