
gen best mean std

0 39.044163 -3.119779 10.648820

1 47.978977 4.153340 18.357807

2 39.179917 9.134614 19.798289

3 39.179917 10.694957 18.553954

4 48.013548 13.878290 19.129907

5 48.013548 22.830371 20.247585

6 66.147798 28.203367 20.962598

7 66.147798 33.937230 16.847762

8 66.269900 31.600849 21.075512

9 57.269900 37.639425 16.878459

10 57.094638 42.463348 13.289739

11 48.127882 36.891368 19.193405

12 57.013548 43.528105 12.337981

13 57.013548 43.163280 15.386294

14 57.013548 46.752790 12.962589

15 57.013548 47.121077 16.696077

16 57.013548 50.358406 13.433314

17 57.013548 49.638671 18.836848

18 57.013548 54.132808 8.141742

19 57.013548 51.619340 15.357544

20 57.013548 54.675224 7.586930
