
gen best mean std

0 91.490612 13.671493 33.092698

1 91.490612 38.800999 38.902188

2 92.250924 68.377174 30.607879

3 92.172379 88.367047 8.529644

4 92.247040 91.091847 1.761887

5 92.690612 91.577011 0.343935

6 92.690612 91.734167 0.418888

7 93.331940 91.834856 0.462033

8 93.331940 92.105568 0.581912

9 93.331940 92.428423 0.526451

10 93.331940 92.426723 2.574835

11 93.331940 92.876329 0.331638

12 93.331940 93.008049 0.348579

13 93.331940 93.162864 0.355179

14 93.331940 93.306287 0.125674

15 93.331940 93.331940 0.000000

16 93.331940 93.331940 0.000000

17 93.331940 93.331940 0.000000

18 93.331940 92.592277 7.176830

19 93.331940 93.331940 0.000000

20 93.331940 92.888316 4.414001

21 93.331940 93.331940 0.000000

22 93.331940 93.331940 0.000000

23 93.331940 92.880660 4.490179

24 93.331940 93.331940 0.000000

25 93.331940 93.331940 0.000000

26 93.331940 93.331940 0.000000

27 93.331940 93.331940 0.000000

28 93.331940 93.331940 0.000000

29 93.331940 93.151819 1.792183

30 93.331940 93.331940 0.000000
