
gen best mean std

0 56.805595 1.288979 13.832724

1 56.805595 10.388606 18.642340

2 74.750025 22.505018 20.053963

3 74.750025 36.334720 17.916160

4 85.193424 48.183162 14.987035

5 88.793424 58.658877 12.471453

6 88.793424 65.425456 11.079705

7 88.793424 73.513345 11.196201

8 88.793424 81.653764 7.754523

9 88.793424 85.586728 3.894775

10 88.793424 86.897760 7.754810

11 88.793424 88.252418 2.870534

12 88.793424 88.793424 0.000000

13 88.793424 88.793424 0.000000

14 88.793424 88.793424 0.000000

15 88.793424 88.793424 0.000000

16 88.793424 88.793424 0.000000

17 88.793424 88.793424 0.000000

18 88.793424 88.793424 0.000000

19 88.793424 88.793424 0.000000

20 88.793424 88.793424 0.000000

21 88.793424 88.793424 0.000000

22 88.793424 88.793424 0.000000

23 88.793424 88.793424 0.000000

24 88.793424 88.793424 0.000000

25 88.793424 88.793424 0.000000

26 88.793424 88.793424 0.000000

27 88.793424 88.793424 0.000000

28 88.793424 88.793424 0.000000

29 88.793424 88.793424 0.000000

30 88.793424 88.793424 0.000000
