
gen best mean std

0 92.250924 10.062444 30.166204

1 92.250924 26.867971 35.191234

2 92.250924 57.453308 32.470604

3 92.647040 84.696032 13.449952

4 93.029516 90.666573 5.111366

5 92.250924 91.165137 4.606883

6 92.250924 90.497220 8.003959

7 93.409567 91.150643 6.289734

8 93.409567 91.178941 9.769625

9 93.409567 92.332711 0.302561

10 93.409567 92.441074 0.417284

11 93.409567 92.647026 0.729641

12 93.409567 92.842497 0.534132

13 93.409567 93.144428 0.439802

14 93.409567 93.362538 0.213518

15 93.409567 93.403432 0.061044

16 93.409567 93.409567 0.000000

17 93.409567 93.409567 0.000000

18 93.409567 93.409567 0.000000

19 93.409567 93.409567 0.000000

20 93.409567 93.409567 0.000000

21 93.409567 93.409567 0.000000

22 93.409567 93.409567 0.000000

23 93.409567 93.409567 0.000000

24 93.409567 93.409567 0.000000

25 93.409567 93.409567 0.000000

26 93.409567 93.409567 0.000000

27 93.409567 93.409567 0.000000

28 93.409567 93.409567 0.000000

29 93.409567 93.409567 0.000000

30 93.409567 93.409567 0.000000
