
gen best mean std

0 57.253797 -2.660290 8.489263

1 39.179917 2.198946 11.792552

2 39.179917 10.998953 13.926375

3 66.203942 21.290297 14.301141

4 66.203942 31.362257 11.856695

5 66.203942 39.459852 8.655558

6 94.918596 43.860951 9.332746

7 94.918596 48.984254 12.438912

8 94.918596 55.576413 14.601654

9 94.918596 65.376424 16.447011

10 94.918596 75.854177 16.868024

11 94.918596 88.174942 12.421153

12 94.918596 94.918596 0.000000

13 94.918596 94.918596 0.000000

14 94.918596 94.639070 3.943189

15 94.918596 94.918596 0.000000

16 94.918596 94.918596 0.000000

17 94.918596 94.918596 0.000000

18 94.918596 94.639070 3.943189

19 94.918596 94.918596 0.000000

20 94.918596 94.918596 0.000000

21 94.918596 94.918596 0.000000

22 94.918596 94.918596 0.000000

23 94.918596 94.918596 0.000000

24 94.918596 94.918596 0.000000

25 94.918596 94.918596 0.000000

26 94.918596 94.918596 0.000000

27 94.918596 94.918596 0.000000

28 94.918596 94.918596 0.000000

29 94.918596 94.918596 0.000000

30 94.918596 94.918596 0.000000
