
gen best mean std

0 75.065106 -2.697739 10.615819

1 75.065106 2.589363 14.320173

2 75.013548 12.613691 19.167990

3 75.013548 26.505411 20.001169

4 75.013548 40.060323 16.237975

5 75.269900 49.094512 16.185917

6 75.269900 56.992644 15.289095

7 75.269900 66.221622 13.322024

8 75.269900 73.723749 5.795267

9 75.269900 75.043029 0.081782

10 75.269900 74.901481 2.546538

11 75.269900 75.127058 0.127016

12 75.269900 75.204530 0.111734

13 94.852506 75.553385 2.382109

14 94.852506 76.053204 3.837391

15 94.852506 77.326074 6.003115

16 94.852506 80.361378 8.589601

17 94.852506 85.061203 9.791303

18 94.852506 91.915115 6.992389

19 94.852506 94.852506 0.000000

20 94.852506 94.852506 0.000000

21 94.852506 94.852506 0.000000

22 94.852506 94.852506 0.000000

23 94.852506 94.852506 0.000000

24 94.852506 94.852506 0.000000

25 94.852506 94.852506 0.000000

26 94.852506 94.852506 0.000000

27 94.852506 94.852506 0.000000

28 94.852506 94.852506 0.000000

29 94.852506 94.852506 0.000000

30 94.852506 94.852506 0.000000
