
gen best mean std

0 39.070411 -3.922318 6.969830

1 39.179917 0.446711 11.874066

2 48.081106 9.187596 16.165201

3 48.081106 24.428364 15.292335

4 75.194865 35.813392 10.144399

5 75.194865 41.037429 7.712181

6 75.194865 45.317156 10.706211

7 75.194865 51.630431 13.058956

8 75.194865 61.542625 14.560741

9 75.194865 71.436505 9.415355

10 75.194865 75.194865 0.000000

11 75.194865 75.194865 0.000000

12 75.194865 75.194865 0.000000

13 75.194865 75.194865 0.000000

14 75.194865 75.194865 0.000000

15 75.194865 75.194865 0.000000

16 75.194865 75.194865 0.000000

17 75.194865 75.194865 0.000000

18 75.194865 75.194865 0.000000

19 75.194865 75.194865 0.000000

20 75.194865 75.194865 0.000000
