
gen best mean std

0 57.179917 0.308144 12.613772

1 65.866602 6.726261 16.713220

2 57.179917 14.884740 17.727726

3 57.179917 22.891975 18.821616

4 65.866602 28.541766 21.599435

5 85.991410 37.867513 23.098840

6 85.991410 37.669140 25.552039

7 88.018586 42.878451 24.928017

8 88.018586 42.664341 25.531229

9 88.018586 48.087613 26.375128

10 88.193424 45.732210 29.882061

11 88.193424 46.048018 29.612629

12 88.193424 44.843886 28.968766

13 87.811736 45.645923 28.581540

14 87.811736 52.971350 29.108424

15 87.811736 50.521081 31.332627

16 88.470950 56.630287 28.085401

17 88.557367 55.002955 31.230225

18 88.470950 52.157577 32.740811

19 88.470950 52.283874 33.328432

20 89.393424 56.339876 31.443507

21 89.393424 59.317947 32.486307

22 89.618586 59.828914 31.193000

23 89.393424 57.121317 33.707800

24 89.393424 62.620137 33.177463

25 89.393424 62.657554 34.650939

26 89.393424 72.176004 28.336752

27 89.393424 72.084287 30.893344

28 89.593424 78.045819 25.378911

29 89.593424 79.960285 24.872608

30 89.793424 79.318787 24.724666
