
gen best mean std

0 92.647040 8.724000 28.613997

1 92.647040 31.551346 36.957095

2 92.647040 65.767499 29.057880

3 93.067281 84.993930 12.767315

4 93.067281 91.281051 2.530625

5 93.067281 92.135750 3.200772

6 93.067281 92.731548 0.247591

7 93.067281 92.867708 0.218493

8 93.067281 92.977508 0.221633

9 93.072124 93.061002 0.051085

10 93.072124 93.067378 0.000678

11 93.072124 93.067693 0.001351

12 93.072124 93.068468 0.002083

13 93.132142 93.070433 0.007983

14 93.132142 93.072849 0.009658

15 93.132142 93.076901 0.016293

16 93.132142 93.082627 0.022805

17 93.882006 93.100929 0.083499

18 93.882006 93.135132 0.134278

19 93.982720 93.179204 0.198500

20 93.982720 93.296766 0.307185

21 93.982720 93.463953 0.383082

22 93.982720 93.732656 0.311318

23 93.982720 93.920990 0.076589

24 93.982720 93.963477 0.036813

25 93.982720 93.980091 0.014958

26 93.982720 93.982277 0.006254

27 93.982720 93.982720 0.000000

28 93.982720 93.982720 0.000000

29 93.982720 93.982720 0.000000

30 93.982720 93.982720 0.000000
