
gen best mean std

0 92.647040 10.856056 31.537854

1 91.490612 38.054250 39.977941

2 91.807043 71.796295 28.042607

3 91.807043 86.989058 6.519688

4 93.207043 89.448443 2.096847

5 93.407043 90.861420 1.504656

6 93.407043 91.676175 0.885244

7 93.407043 92.115004 0.600004

8 93.407043 92.569754 0.729841

9 93.407043 92.963412 0.686366

10 93.407043 93.190697 0.551256

11 93.407043 93.335319 0.104958

12 93.407043 93.394043 0.049305

13 93.407043 93.407043 0.000000

14 93.407043 93.407043 0.000000

15 93.407043 93.407043 0.000000

16 93.407043 93.407043 0.000000

17 93.407043 93.407043 0.000000

18 93.407043 93.407043 0.000000

19 93.407043 93.407043 0.000000

20 93.407043 93.407043 0.000000

21 93.407043 93.407043 0.000000

22 93.407043 93.407043 0.000000

23 93.407043 93.407043 0.000000

24 93.407043 93.407043 0.000000

25 93.407043 93.407043 0.000000

26 93.407043 93.407043 0.000000

27 93.407043 93.407043 0.000000

28 93.407043 93.407043 0.000000

29 93.407043 93.407043 0.000000

30 93.407043 93.407043 0.000000
