
gen best mean std

0 86.391410 1.409736 16.240351

1 74.757777 8.938917 19.394320

2 74.757777 16.346251 20.545865

3 74.742332 21.321755 22.258623

4 75.213103 29.103790 22.038039

5 85.991410 33.065617 25.663049

6 86.391410 39.308588 25.719470

7 84.213791 38.774695 26.232725

8 75.206986 40.959094 26.412978

9 85.583394 41.274037 25.504367

10 85.991410 42.086453 27.206755

11 86.957367 46.176978 25.317837

12 86.957367 46.118878 25.728944

13 87.417915 47.207367 26.796301

14 87.417915 54.925552 27.044439

15 88.389400 49.416208 30.759824

16 88.389400 52.435299 30.728878

17 88.389400 52.799496 30.172713

18 88.389400 53.193486 30.316690

19 88.389400 60.313396 29.235652

20 88.389400 56.684222 31.560913

21 88.389400 62.363344 28.570085

22 88.393424 62.998417 27.999170

23 88.393424 66.734330 27.669480

24 88.389400 65.816486 28.102149

25 88.389400 68.037226 30.346881

26 91.254579 75.940544 26.287315

27 91.254579 78.706963 23.373149

28 91.254579 79.672077 23.337512

29 91.254579 81.111955 20.269810

30 91.254579 83.247525 18.293222
